uniprot.id	gene.symbol	Hypotaurine	Inosine 5'-monophosphate	D-Mannosamine hydrochloride	N-Acetyl-DL-methionine	4-Acetamidobutyric acid	N-Acetyl-L-leucine	N-Acetyl-DL-glutamic acid	Pantothenic acid	alpha-Ketoglutarate	N-alpha-Acetyl-L-asparagine	Cytidine 5'-monophosphate	Homovanillic acid/DL-p-Hydroxyphenyllactic acid	D-Fructose 1,6-bisphosphate	D-Glucuronic acid	N-Acetyl-L-aspartic acid	Hypoxanthine	GABA	2'-Deoxyuridine	Uric acid	N-Acetyl-L-phenylalanine	Dihydrobiopterin	L-Asparagine	N-Acetyl-L-proline	Citrate/isocitrate	malate	3-Ureidopropionic acid	Adenosine 5'-monophosphate	Fumarate	Maleate	Uridine 5'-diphospho-N-acetylgalactosamine	citramalate	Guanidineacetic acid	N-Acetyl-DL-serine	Xanthine	Ribose 5-phosphate	Thiamine pyrophosphate	glycerol-3-phosphate	Adenosine	S-(5'-Adenosyl)-L-homocysteine	Inosine	O-Phosphorylethanolamine	Succinate	N-Acetylneuraminic acid	Uridine	N-Methyl-L-glutamic acid	CDP-ethanolamine	Cytidine 5'-diphosphocholine	Serotonin	Cytidine	Ophthalmate	L-Glutamic acid	L-Serine	N-Methyl-D-aspartic acid	Allantoin	Lipoic acid	NAD	2-Hydroxybutyric acid	Guanidinosuccinic acid	L-Aspartic acid	Benzoic acid	L-Methionine	5-Aminovaleric acid	L-Dihydroorotic acid	Thymidine	L-Norvaline	Creatine	L-Valine	Decanoyl-L-carnitine (C10)	Methylglyoxal	Succinate semialdehyde	Rhamnose/Fucose/2-deoxy-D-glucose	Itaconate/Citraconate	Butyryl-carnitine	D-(+)-Galacturonic acid	Octanoyl-L-carnitine (C8)	2-Methylalanine	xylose/ribose/arabinose	trans-4-Hydroxy-L-proline	Palmitoylcarnitine	N-alpha-Acetyl-L-lysine	fructose/galactose/glucose	D-Glucose	Myristoyl-carnitine	Ocatadecanoyl-carnitine	L-Homoserine	Lauroyl-L-carnitine	Quinolinic acid	L-Pipecolic acid	Palmitoleic acid	L-Threonine	Propionyl-carnitine	Isovaleryl-carnitine	L-Proline	Acetyl-L-carnitine	L-Cystathionine	L-Lysine	Uracil	Ornithine	2'-Deoxycytidine	Myristic acid	Biotin	L-Carnitine	Glutaryl-L-carnitine	1-Methyl-L-histidine	delta.Valerolactone	3.Carboxypropyl.trimethylammonium.chloride	Acrylic.acid	O.Succinyl.L.homoserine	Ergothioneine	1.7.Dimethylxanthine	Theophylline	L.leucine.isoleucine	Seleno.DL.methionine
Q8BHD8	PCMTD2	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9DBE0	CSAD	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9JHS4	CLPX	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0	0	0.55	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0
P60334	CDO1	0.38	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0
Q9D1E8	AGPAT5	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5XG73	ACBD5	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q63829	COMMD3	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q61081	CDC37	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8QZR1	TAT	0.17	0	0	0	0	0.05	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0.14	0	0.14	0	0	0	0	0	0.06	0	0	0	0	0	0	0.24	0	0	0	0	0.11	0	0	0.03	0	0.1	0.02	0.11	0.04	0	0.19	0.11	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0
Q8JZL3	THTPA	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
