ID	gene.symbol.x	chebi.identifier	chebi.name	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
R-MMU-170822	NUP205	CHEBI:17925	Glc	NUP205_CHEBI:17925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-170822	NUP205	CHEBI:57634	Fru(6)P	NUP205_CHEBI:57634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-9615933	NUP205	CHEBI:58189	GDP	NUP205_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-69273	LCMT1	CHEBI:57856	AdoHcy	LCMT1_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-8866652	UBA6	CHEBI:456215	AMP	UBA6_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-9840309	ESYT2	CHEBI:66914	UDP-Gal	ESYT2_CHEBI:66914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8963693	ASPG	CHEBI:16810	2OG	ASPG_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8963693	ASPG	CHEBI:16953	NAASP	ASPG_CHEBI:16953	sp|A0JNU3|LPP60_MOUSE	ASPG	protein	N-Acetyl-L-aspartic acid	metabolite	-0.300079459720236	9.95237384433523e-5	163	0.00950657773972707	ASPG_N-Acetyl-L-aspartic acid	N-acetyl-L-aspartate(2−)	CHEBI:16953	primary	24	CHEBI:16953	24	N-acetyl-L-aspartate(2-)	ASPG_N-Acetyl-L-aspartic acid_CHEBI:16953	Reactome
R-MMU-8963693	ASPG	CHEBI:21547	NAA	ASPG_CHEBI:21547	sp|A0JNU3|LPP60_MOUSE	ASPG	protein	N-Acetyl-L-aspartic acid	metabolite	-0.300079459720236	9.95237384433523e-5	163	0.00950657773972707	ASPG_N-Acetyl-L-aspartic acid	N-acetyl-L-aspartic acid	CHEBI:21547	primary	46	CHEBI:21547	46	N-acetyl-L-aspartic acid	ASPG_N-Acetyl-L-aspartic acid_CHEBI:21547	Reactome
R-MMU-8963693	ASPG	CHEBI:29985	L-Glu	ASPG_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8963693	ASPG	CHEBI:29991	L-Asp	ASPG_CHEBI:29991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8963693	ASPG	CHEBI:456215	AMP	ASPG_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8963693	ASPG	CHEBI:507393	TAU	ASPG_CHEBI:507393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8963693	ASPG	CHEBI:57853	HTAU	ASPG_CHEBI:57853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8963693	ASPG	CHEBI:58048	L-Asn	ASPG_CHEBI:58048	sp|A0JNU3|LPP60_MOUSE	ASPG	protein	L-Asparagine	metabolite	-0.318097631511869	3.50431749751579e-5	163	0.00470990569996091	ASPG_L-Asparagine	L-asparagine zwitterion	CHEBI:58048	primary	13	CHEBI:58048	13	L-asparagine zwitterion	ASPG_L-Asparagine_CHEBI:58048	Reactome
R-MMU-8963693	ASPG	CHEBI:61085	CSA	ASPG_CHEBI:61085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-437239	SHTN1	CHEBI:58189	GDP	SHTN1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8854214	TBC1D25	CHEBI:17552	GDP	TBC1D25_CHEBI:17552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8854214	TBC1D25	CHEBI:58189	GDP	TBC1D25_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-5696394	CUL4B	CHEBI:17154	NAM	CUL4B_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-5696394	CUL4B	CHEBI:57540	NAD+	CUL4B_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
