gene.symbol.x	ID	chebi.name	chebi.identifier	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
GBA	RHEA:13269	D-glucose	CHEBI:4167	GBA_CHEBI:4167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
GBA	RHEA:11956	D-glucose	CHEBI:4167	GBA_CHEBI:4167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACVRL1	RHEA:44880	ADP	CHEBI:456216	ACVRL1_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ADA	RHEA:24408	adenosine	CHEBI:16335	ADA_CHEBI:16335	sp|P03958|ADA_MOUSE	ADA	protein	Adenosine	metabolite	-0.3488612138914708	5.021226592738515e-6	163	9.307428932617432e-5	ADA_Adenosine	adenosine	CHEBI:16335	primary	52	CHEBI:16335	52	adenosine	ADA_Adenosine_CHEBI:16335	Rhea
ADA	RHEA:24408	inosine	CHEBI:17596	ADA_CHEBI:17596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HEXA	RHEA:48276	N-acetyl-beta-D-galactosamine	CHEBI:28497	HEXA_CHEBI:28497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HEXA	RHEA:64372	N-acetyl-D-galactosamine	CHEBI:28037	HEXA_CHEBI:28037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HEXA	RHEA:47940	N-acetyl-beta-D-galactosamine	CHEBI:28497	HEXA_CHEBI:28497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HEXA	RHEA:47968	N-acetyl-beta-D-galactosamine	CHEBI:28497	HEXA_CHEBI:28497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
STK11	RHEA:17989	ADP	CHEBI:456216	STK11_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
STK11	RHEA:46608	ADP	CHEBI:456216	STK11_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FASN	RHEA:41932	hexadecanoate	CHEBI:7896	FASN_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FASN	RHEA:30123	tetradecanoate	CHEBI:30807	FASN_CHEBI:30807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FASN	RHEA:14993	a long-chain fatty acid	CHEBI:57560	FASN_CHEBI:57560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LPL	RHEA:38575	(9Z)-octadecenoate	CHEBI:30823	LPL_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LPL	RHEA:40475	butanoate	CHEBI:17968	LPL_CHEBI:17968	sp|P11152|LIPL_MOUSE	LPL	protein	Butyric acid	metabolite	0.2241223279354375	0.00402672222589606	163	0.02295069212657905	LPL_Butyric acid	butyrate	CHEBI:17968	primary	26	CHEBI:17968	26	butyrate	LPL_Butyric acid_CHEBI:17968	Rhea
LPL	RHEA:41384	hexadecanoate	CHEBI:7896	LPL_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LPL	RHEA:18689	a fatty acid	CHEBI:28868	LPL_CHEBI:28868	sp|P11152|LIPL_MOUSE	LPL	protein	propionate	metabolite	0.35288973150073105	3.832891781740955e-6	163	7.409106872935388e-5	LPL_propionate	propionate	CHEBI:17272	primary	26	CHEBI:28868	22	fatty acid anion	LPL_propionate_CHEBI:28868	Rhea
LPL	RHEA:12044	a fatty acid	CHEBI:28868	LPL_CHEBI:28868	sp|P11152|LIPL_MOUSE	LPL	protein	propionate	metabolite	0.35288973150073105	3.832891781740955e-6	163	7.409106872935388e-5	LPL_propionate	propionate	CHEBI:17272	primary	26	CHEBI:28868	22	fatty acid anion	LPL_propionate_CHEBI:28868	Rhea
ROCK2	RHEA:17989	ADP	CHEBI:456216	ROCK2_CHEBI:456216	sp|P70336|ROCK2_MOUSE	ROCK2	protein	Adenosine 5'-diphosphate sodium salt	metabolite	-0.4070743802522032	6.945443731254386e-8	163	2.4032291805939523e-6	ROCK2_Adenosine 5'-diphosphate sodium salt	ADP(3−)	CHEBI:456216	primary	21	CHEBI:456216	21	ADP(3-)	ROCK2_Adenosine 5'-diphosphate sodium salt_CHEBI:456216	Rhea
ROCK2	RHEA:46608	ADP	CHEBI:456216	ROCK2_CHEBI:456216	sp|P70336|ROCK2_MOUSE	ROCK2	protein	Adenosine 5'-diphosphate sodium salt	metabolite	-0.4070743802522032	6.945443731254386e-8	163	2.4032291805939523e-6	ROCK2_Adenosine 5'-diphosphate sodium salt	ADP(3−)	CHEBI:456216	primary	21	CHEBI:456216	21	ADP(3-)	ROCK2_Adenosine 5'-diphosphate sodium salt_CHEBI:456216	Rhea
ACSL5	RHEA:19713	AMP	CHEBI:456215	ACSL5_CHEBI:456215	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Adenosine 5'-monophosphate	metabolite	0.2388946040627512	0.00213255378104859	163	0.01384281542434031	ACSL5_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSL5_Adenosine 5'-monophosphate _CHEBI:456215	Rhea
ACSL5	RHEA:36139	AMP	CHEBI:456215	ACSL5_CHEBI:456215	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Adenosine 5'-monophosphate	metabolite	0.2388946040627512	0.00213255378104859	163	0.01384281542434031	ACSL5_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSL5_Adenosine 5'-monophosphate _CHEBI:456215	Rhea
ACSL5	RHEA:52112	AMP	CHEBI:456215	ACSL5_CHEBI:456215	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Adenosine 5'-monophosphate	metabolite	0.2388946040627512	0.00213255378104859	163	0.01384281542434031	ACSL5_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSL5_Adenosine 5'-monophosphate _CHEBI:456215	Rhea
ACSL5	RHEA:52116	AMP	CHEBI:456215	ACSL5_CHEBI:456215	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Adenosine 5'-monophosphate	metabolite	0.2388946040627512	0.00213255378104859	163	0.01384281542434031	ACSL5_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSL5_Adenosine 5'-monophosphate _CHEBI:456215	Rhea
ACSL5	RHEA:52108	AMP	CHEBI:456215	ACSL5_CHEBI:456215	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Adenosine 5'-monophosphate	metabolite	0.2388946040627512	0.00213255378104859	163	0.01384281542434031	ACSL5_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSL5_Adenosine 5'-monophosphate _CHEBI:456215	Rhea
ACSL5	RHEA:30751	hexadecanoate	CHEBI:7896	ACSL5_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:30751	AMP	CHEBI:456215	ACSL5_CHEBI:456215	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Adenosine 5'-monophosphate	metabolite	0.2388946040627512	0.00213255378104859	163	0.01384281542434031	ACSL5_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSL5_Adenosine 5'-monophosphate _CHEBI:456215	Rhea
ACSL5	RHEA:15421	a long-chain fatty acid	CHEBI:57560	ACSL5_CHEBI:57560	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Myristic acid	metabolite	0.23877005199964196	0.00214436276992335	163	0.01390338581910447	ACSL5_Myristic acid	tetradecanoate	CHEBI:30807	primary	30	CHEBI:57560	23	long-chain fatty acid anion	ACSL5_Myristic acid_CHEBI:57560	Rhea
ACSL5	RHEA:15421	AMP	CHEBI:456215	ACSL5_CHEBI:456215	sp|Q8JZR0|ACSL5_MOUSE	ACSL5	protein	Adenosine 5'-monophosphate	metabolite	0.2388946040627512	0.00213255378104859	163	0.01384281542434031	ACSL5_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSL5_Adenosine 5'-monophosphate _CHEBI:456215	Rhea
MACROD2	RHEA:68792	nicotinamide	CHEBI:17154	MACROD2_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HFM1	RHEA:13065	ADP	CHEBI:456216	HFM1_CHEBI:456216	sp|D3Z4R1|HFM1_MOUSE	HFM1	protein	Adenosine 5'-diphosphate sodium salt	metabolite	0.2509506931948747	0.00397831117075497	130	0.02273024633991148	HFM1_Adenosine 5'-diphosphate sodium salt	ADP(3−)	CHEBI:456216	primary	21	CHEBI:456216	21	ADP(3-)	HFM1_Adenosine 5'-diphosphate sodium salt_CHEBI:456216	Rhea
TARS3	RHEA:24624	L-threonine	CHEBI:57926	TARS3_CHEBI:57926	sp|Q8BLY2|SYTC2_MOUSE	TARS3	protein	L-Threonine	metabolite	0.2615572606577849	7.447647208553843e-4	163	0.00593853681819476	TARS3_L-Threonine	L-threonine zwitterion	CHEBI:57926	primary	13	CHEBI:57926	13	L-threonine zwitterion	TARS3_L-Threonine_CHEBI:57926	Rhea
TARS3	RHEA:24624	AMP	CHEBI:456215	TARS3_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TYW5	RHEA:37899	2-oxoglutarate	CHEBI:16810	TYW5_CHEBI:16810	sp|A2RSX7|TYW5_MOUSE	TYW5	protein	alpha-Ketoglutarate	metabolite	-0.3616636147196921	2.10116358978496e-6	163	4.457645420850682e-5	TYW5_alpha-Ketoglutarate	2-oxoglutarate(2−)	CHEBI:16810	primary	24	CHEBI:16810	24	2-oxoglutarate(2-)	TYW5_alpha-Ketoglutarate_CHEBI:16810	Rhea
TYW5	RHEA:37899	succinate	CHEBI:30031	TYW5_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TGFBR2	RHEA:18673	ADP	CHEBI:456216	TGFBR2_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TGFBR2	RHEA:44880	ADP	CHEBI:456216	TGFBR2_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38391	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38575	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:40475	butanoate	CHEBI:17968	LIPC_CHEBI:17968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38699	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38511	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:41384	hexadecanoate	CHEBI:7896	LIPC_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
