gene.symbol.x	ID	chebi.name	chebi.identifier	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
GBA	RHEA:14297	D-galactose	CHEBI:4139	GBA_CHEBI:4139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
GBA	RHEA:13269	D-glucose	CHEBI:4167	GBA_CHEBI:4167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
GBA	RHEA:11956	D-glucose	CHEBI:4167	GBA_CHEBI:4167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ADA	RHEA:24408	adenosine	CHEBI:16335	ADA_CHEBI:16335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ADA	RHEA:24408	inosine	CHEBI:17596	ADA_CHEBI:17596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FASN	RHEA:41932	hexadecanoate	CHEBI:7896	FASN_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FASN	RHEA:30123	tetradecanoate	CHEBI:30807	FASN_CHEBI:30807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FASN	RHEA:14993	a long-chain fatty acid	CHEBI:57560	FASN_CHEBI:57560	sp|P19096|FAS_MOUSE	FASN	protein	Eladic/oleic/petroselinic acid	metabolite	0.264547759688071	6.4362441172427e-4	163	0.0316317571186721	FASN_Eladic/oleic/petroselinic acid	petroselinate	CHEBI:32375	primary	27	CHEBI:57560	23	long-chain fatty acid anion	FASN_Eladic/oleic/petroselinic acid_CHEBI:57560	Rhea
LPL	RHEA:38575	(9Z)-octadecenoate	CHEBI:30823	LPL_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LPL	RHEA:40475	butanoate	CHEBI:17968	LPL_CHEBI:17968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LPL	RHEA:41384	hexadecanoate	CHEBI:7896	LPL_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LPL	RHEA:18689	a fatty acid	CHEBI:28868	LPL_CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LPL	RHEA:12044	a fatty acid	CHEBI:28868	LPL_CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:19713	AMP	CHEBI:456215	ACSL5_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:36139	AMP	CHEBI:456215	ACSL5_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:52112	AMP	CHEBI:456215	ACSL5_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:52116	AMP	CHEBI:456215	ACSL5_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:52108	AMP	CHEBI:456215	ACSL5_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:30751	hexadecanoate	CHEBI:7896	ACSL5_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:30751	AMP	CHEBI:456215	ACSL5_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:15421	a long-chain fatty acid	CHEBI:57560	ACSL5_CHEBI:57560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSL5	RHEA:15421	AMP	CHEBI:456215	ACSL5_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TARS3	RHEA:24624	L-threonine	CHEBI:57926	TARS3_CHEBI:57926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TARS3	RHEA:24624	AMP	CHEBI:456215	TARS3_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HYKK	RHEA:19049	GDP	CHEBI:58189	HYKK_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TYW5	RHEA:37899	2-oxoglutarate	CHEBI:16810	TYW5_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TYW5	RHEA:37899	succinate	CHEBI:30031	TYW5_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38391	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38575	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:40475	butanoate	CHEBI:17968	LIPC_CHEBI:17968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38699	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38511	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:41384	hexadecanoate	CHEBI:7896	LIPC_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:38651	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:40499	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:40435	hexadecanoate	CHEBI:7896	LIPC_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:18689	a fatty acid	CHEBI:28868	LIPC_CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:15177	a fatty acid	CHEBI:28868	LIPC_CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
