Uniprot.accession,Gene.symbol,Description,tissue,Variable,Value,transporter,mito,meta,edge,rhea,reactome,TCDB,edge_type,Outlier
P60334,CDO1,Cysteine dioxygenase type 1 OS=Mus musculus OX=10090 GN=Cdo1 PE=1 SV=1,bat,Hypotaurine,1.398773644,no,no,yes,CDO1_Hypotaurine,NA,R-MMU-1614558;R-HSA-1614558,NA,established,Extreme Outlier
Q9EP97,SENP3,Sentrin-specific protease 3 OS=Mus musculus OX=10090 GN=Senp3 PE=1 SV=1,bat,Hypotaurine,0.522883297,no,no,no,SENP3_Hypotaurine,NA,NA,NA,newfound,Extreme Outlier
Q9JLI6,SCLY,Selenocysteine lyase OS=Mus musculus OX=10090 GN=Scly PE=1 SV=1,bat,Hypotaurine,0.317161386,no,no,no,SCLY_Hypotaurine,NA,NA,NA,newfound,Normal
Q62179,SEMA4B,Semaphorin-4B OS=Mus musculus OX=10090 GN=Sema4b PE=1 SV=2,bat,Hypotaurine,0.29115643,no,no,no,SEMA4B_Hypotaurine,NA,NA,NA,newfound,Normal
P70265,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Mus musculus OX=10090 GN=Pfkfb2 PE=1 SV=2",bat,Hypotaurine,0.281822251,no,no,yes,PFKFB2_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BVF2,PDCL3,Phosducin-like protein 3 OS=Mus musculus OX=10090 GN=Pdcl3 PE=1 SV=1,bat,Hypotaurine,0.268611272,no,no,no,PDCL3_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BSZ2,AP3S2,AP-3 complex subunit sigma-2 OS=Mus musculus OX=10090 GN=Ap3s2 PE=1 SV=1,bat,Hypotaurine,0.253622228,no,no,no,AP3S2_Hypotaurine,NA,NA,NA,newfound,Normal
P48771,COX7A2,"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus OX=10090 GN=Cox7a2 PE=1 SV=2",bat,Hypotaurine,0.21571741,yes,yes,yes,COX7A2_Hypotaurine,NA,NA,NA,newfound,Normal
Q99LS1,MMADHC,Cobalamin trafficking protein CblD OS=Mus musculus OX=10090 GN=Mmadhc PE=1 SV=1,bat,Hypotaurine,0.200272343,no,yes,no,MMADHC_Hypotaurine,NA,NA,NA,newfound,Normal
Q543V3,IRS1,Insulin receptor substrate 1 OS=Mus musculus OX=10090 GN=Irs1 PE=1 SV=1,bat,Hypotaurine,0.146798973,no,no,no,IRS1_Hypotaurine,NA,NA,NA,newfound,Normal
A2BDX3,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus OX=10090 GN=Mocs3 PE=1 SV=1,bat,Hypotaurine,0.119793377,no,no,yes,MOCS3_Hypotaurine,NA,NA,NA,newfound,Normal
P26450,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Mus musculus OX=10090 GN=Pik3r1 PE=1 SV=2,bat,Hypotaurine,0.116804098,no,no,no,PIK3R1_Hypotaurine,NA,NA,NA,newfound,Normal
Q7TMB3,PPP1R3C,Protein phosphatase 1 regulatory subunit 3C OS=Mus musculus OX=10090 GN=Ppp1r3c PE=1 SV=1,bat,Hypotaurine,0.104327217,no,no,no,PPP1R3C_Hypotaurine,NA,NA,NA,newfound,Normal
Q00724,RBP4,Retinol-binding protein 4 OS=Mus musculus OX=10090 GN=Rbp4 PE=1 SV=2,bat,Hypotaurine,0.0917,yes,no,no,RBP4_Hypotaurine,NA,NA,NA,newfound,Normal
