ID	gene.symbol.x	uniprot.id	chebi.identifier	chebi.name	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
3.A.1.201.3	ABCB4	P21439	CHEBI:26666	short-chain fatty acid	ABCB4_CHEBI:26666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
3.A.1.208.8	ABCC1	P33527	CHEBI:5437	glutathione	ABCC1_CHEBI:5437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
3.A.1.208.9	ABCC3	O15438	CHEBI:26764	steroid hormone	ABCC3_CHEBI:26764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
4.C.2.1.3	CPT1A	P50416	CHEBI:6202	(R)-carnitine	CPT1A_CHEBI:6202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
1.A.24.1.16	GJA1	P17302	CHEBI:7422	NAD(+)	GJA1_CHEBI:7422	sp|P23242|CXA1_MOUSE	GJA1	protein	NAD	metabolite	0.37352318452272815	9.058609871104296e-7	163	2.1761376825535697e-5	GJA1_NAD	NAD+	CHEBI:7422	secondary	100	CHEBI:7422	100	NAD+	GJA1_NAD_CHEBI:7422	TCDB
2.A.105.1.2	MPC2	O95563	CHEBI:15361	pyruvate	MPC2_CHEBI:15361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.54.1.1	SFXN1	Q9H9B4	CHEBI:6209	L-cystine	SFXN1_CHEBI:6209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.54.1.1	SFXN1	Q9H9B4	CHEBI:6171	L-alanine	SFXN1_CHEBI:6171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.54.1.1	SFXN1	Q9H9B4	CHEBI:6301	L-serine	SFXN1_CHEBI:6301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.13.1	SLC16A1	P53985	CHEBI:30031	succinate(2-)	SLC16A1_CHEBI:30031	sp|P53986|MOT1_MOUSE	SLC16A1	protein	Succinate	metabolite	0.2984280888711021	1.0914873710521356e-4	163	0.0012268887962715	SLC16A1_Succinate	succinate(2−)	CHEBI:30031	primary	25	CHEBI:30031	25	succinate(2-)	SLC16A1_Succinate_CHEBI:30031	TCDB
2.A.1.13.1	SLC16A1	P53985	CHEBI:13705	acetoacetate	SLC16A1_CHEBI:13705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.13.1	SLC16A1	P53985	CHEBI:15361	pyruvate	SLC16A1_CHEBI:15361	sp|P53986|MOT1_MOUSE	SLC16A1	protein	Pyruvate	metabolite	-0.24157984893653375	0.00189190555266582	163	0.01257956155098405	SLC16A1_Pyruvate	pyruvate	CHEBI:15361	primary	24	CHEBI:15361	24	pyruvate	SLC16A1_Pyruvate_CHEBI:15361	TCDB
2.A.1.13.1	SLC16A1	P53985	CHEBI:24996	lactate	SLC16A1_CHEBI:24996	sp|P53986|MOT1_MOUSE	SLC16A1	protein	L-(+)-Lactate	metabolite	-0.2277813833815324	0.00345255251417486	163	0.02031068228476652	SLC16A1_L-(+)-Lactate	lactate	CHEBI:24996	primary	22	CHEBI:24996	22	lactate	SLC16A1_L-(+)-Lactate_CHEBI:24996	TCDB
2.A.1.13.1	SLC16A1	P53985	CHEBI:17968	butyrate	SLC16A1_CHEBI:17968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.13.1	SLC16A1	P53985	CHEBI:15741	succinic acid	SLC16A1_CHEBI:15741	sp|P53986|MOT1_MOUSE	SLC16A1	protein	Succinate	metabolite	0.2984280888711021	1.0914873710521356e-4	163	0.0012268887962715	SLC16A1_Succinate	succinic acid	CHEBI:15741	primary	29	CHEBI:15741	29	succinic acid	SLC16A1_Succinate_CHEBI:15741	TCDB
2.A.1.13.1	SLC16A1	P53985	CHEBI:50613	(S)-2-hydroxybutyric acid	SLC16A1_CHEBI:50613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.2.29	SLC18A2	Q05940	CHEBI:25375	monoamine molecular messenger	SLC18A2_CHEBI:25375	sp|Q8BRU6|VMAT2_MOUSE	SLC18A2	protein	Norepinephrine	metabolite	0.31619380265010194	8.551086668440178e-5	149	0.00100231967617901	SLC18A2_Norepinephrine	(S)-noradrenaline	CHEBI:33571	primary	34	CHEBI:25375	14	monoamine molecular messenger	SLC18A2_Norepinephrine_CHEBI:25375	TCDB
2.A.23.2.3	SLC1A1	P43005	CHEBI:29987	glutamate(2-)	SLC1A1_CHEBI:29987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.23.2.3	SLC1A1	P43005	CHEBI:29995	aspartate(2-)	SLC1A1_CHEBI:29995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.23.2.6	SLC1A3	P43003	CHEBI:29987	glutamate(2-)	SLC1A3_CHEBI:29987	sp|P56564|EAA1_MOUSE	SLC1A3	protein	L-Glutamic acid	metabolite	0.28523247644973937	2.237737360872849e-4	163	0.00222201112208837	SLC1A3_L-Glutamic acid	L-glutamate(2−)	CHEBI:29988	primary	31	CHEBI:29987	23	glutamate(2-)	SLC1A3_L-Glutamic acid_CHEBI:29987	TCDB
2.A.23.2.6	SLC1A3	P43003	CHEBI:29995	aspartate(2-)	SLC1A3_CHEBI:29995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.23.3.1	SLC1A4	P43007	CHEBI:16857	L-threonine	SLC1A4_CHEBI:16857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.23.3.2	SLC1A5	P51912	CHEBI:29987	glutamate(2-)	SLC1A5_CHEBI:29987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.23.3.2	SLC1A5	P51912	CHEBI:6227	L-glutamine	SLC1A5_CHEBI:6227	tr|Q9ESU7|Q9ESU7_MOUSE	SLC1A5	protein	L-Glutamine	metabolite	-0.3335629030008394	1.3542616224437865e-5	163	2.15078664329292e-4	SLC1A5_L-Glutamine	L-glutamine	CHEBI:6227	secondary	100	CHEBI:6227	100	L-glutamine	SLC1A5_L-Glutamine_CHEBI:6227	TCDB
2.A.23.2.8	SLC1A6	P48664	CHEBI:29987	glutamate(2-)	SLC1A6_CHEBI:29987	sp|O35544|EAA4_MOUSE	SLC1A6	protein	L-Glutamic acid	metabolite	0.29152379735388656	3.2454496421818746e-4	148	0.00301811862130237	SLC1A6_L-Glutamic acid	L-glutamate(2−)	CHEBI:29988	primary	31	CHEBI:29987	23	glutamate(2-)	SLC1A6_L-Glutamic acid_CHEBI:29987	TCDB
2.A.23.2.8	SLC1A6	P48664	CHEBI:29995	aspartate(2-)	SLC1A6_CHEBI:29995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.19.24	SLC22A3	O75751	CHEBI:25375	monoamine molecular messenger	SLC22A3_CHEBI:25375	sp|Q9WTW5|S22A3_MOUSE	SLC22A3	protein	Norepinephrine	metabolite	-0.3737179608604613	8.931784085675076e-7	163	2.149870726709359e-5	SLC22A3_Norepinephrine	(S)-noradrenaline	CHEBI:33571	primary	34	CHEBI:25375	14	monoamine molecular messenger	SLC22A3_Norepinephrine_CHEBI:25375	TCDB
2.A.29.7.2	SLC25A1	P53007	CHEBI:15595	malate(2-)	SLC25A1_CHEBI:15595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.7.2	SLC25A1	P53007	CHEBI:16383	cis-aconitate(3-)	SLC25A1_CHEBI:16383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.7.2	SLC25A1	P53007	CHEBI:16087	isocitrate(3-)	SLC25A1_CHEBI:16087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.2.7	SLC25A10	Q9UBX3	CHEBI:15595	malate(2-)	SLC25A10_CHEBI:15595	sp|Q9QZD8|DIC_MOUSE	SLC25A10	protein	malate	metabolite	-0.3617473300735177	2.088965932456333e-6	163	4.435878160339697e-5	SLC25A10_malate	malate(2−)	CHEBI:15595	primary	25	CHEBI:15595	25	malate(2-)	SLC25A10_malate_CHEBI:15595	TCDB
2.A.29.2.7	SLC25A10	Q9UBX3	CHEBI:30031	succinate(2-)	SLC25A10_CHEBI:30031	sp|Q9QZD8|DIC_MOUSE	SLC25A10	protein	Succinate	metabolite	-0.4372908776532875	5.32919264273346e-9	163	2.595425905783719e-7	SLC25A10_Succinate	succinate(2−)	CHEBI:30031	primary	25	CHEBI:30031	25	succinate(2-)	SLC25A10_Succinate_CHEBI:30031	TCDB
2.A.29.2.11	SLC25A11	Q9CR62	CHEBI:15595	malate(2-)	SLC25A11_CHEBI:15595	sp|Q9CR62|M2OM_MOUSE	SLC25A11	protein	malate	metabolite	0.3629009373589678	1.927592864880978e-6	163	4.140924737002312e-5	SLC25A11_malate	malate(2−)	CHEBI:15595	primary	25	CHEBI:15595	25	malate(2-)	SLC25A11_malate_CHEBI:15595	TCDB
2.A.29.2.11	SLC25A11	Q9CR62	CHEBI:30915	2-oxoglutaric acid	SLC25A11_CHEBI:30915	sp|Q9CR62|M2OM_MOUSE	SLC25A11	protein	alpha-Ketoglutarate	metabolite	-0.2418622252776821	0.00186809188671355	163	0.01245331239432288	SLC25A11_alpha-Ketoglutarate	2-oxoglutaric acid	CHEBI:30915	primary	29	CHEBI:30915	29	2-oxoglutaric acid	SLC25A11_alpha-Ketoglutarate_CHEBI:30915	TCDB
2.A.29.2.13	SLC25A11	Q02978	CHEBI:16810	2-oxoglutarate(2-)	SLC25A11_CHEBI:16810	sp|Q9CR62|M2OM_MOUSE	SLC25A11	protein	alpha-Ketoglutarate	metabolite	-0.2418622252776821	0.00186809188671355	163	0.01245331239432288	SLC25A11_alpha-Ketoglutarate	2-oxoglutarate(2−)	CHEBI:16810	primary	24	CHEBI:16810	24	2-oxoglutarate(2-)	SLC25A11_alpha-Ketoglutarate_CHEBI:16810	TCDB
2.A.29.2.13	SLC25A11	Q02978	CHEBI:15595	malate(2-)	SLC25A11_CHEBI:15595	sp|Q9CR62|M2OM_MOUSE	SLC25A11	protein	malate	metabolite	0.3629009373589678	1.927592864880978e-6	163	4.140924737002312e-5	SLC25A11_malate	malate(2−)	CHEBI:15595	primary	25	CHEBI:15595	25	malate(2-)	SLC25A11_malate_CHEBI:15595	TCDB
2.A.29.14.2	SLC25A13	Q9UJS0	CHEBI:29987	glutamate(2-)	SLC25A13_CHEBI:29987	sp|Q9QXX4|CMC2_MOUSE	SLC25A13	protein	L-Glutamic acid	metabolite	-0.3703050795141853	1.141973216878256e-6	163	2.6526836767309312e-5	SLC25A13_L-Glutamic acid	L-glutamate(2−)	CHEBI:29988	primary	31	CHEBI:29987	23	glutamate(2-)	SLC25A13_L-Glutamic acid_CHEBI:29987	TCDB
2.A.29.14.2	SLC25A13	Q9UJS0	CHEBI:29995	aspartate(2-)	SLC25A13_CHEBI:29995	sp|Q9QXX4|CMC2_MOUSE	SLC25A13	protein	L-Aspartic acid	metabolite	-0.30244691853693756	8.710197447747703e-5	163	0.00101794099131308	SLC25A13_L-Aspartic acid	L-aspartate(2−)	CHEBI:29993	primary	33	CHEBI:29995	31	aspartate(2-)	SLC25A13_L-Aspartic acid_CHEBI:29995	TCDB
2.A.29.19.2	SLC25A15	Q9Y619	CHEBI:7784	ornithine	SLC25A15_CHEBI:7784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
