Uniprot.accession,Gene.symbol,Description,tissue,Variable,Value,transporter,mito,meta,edge,rhea,reactome,TCDB,edge_type,Outlier
Q8BHD8,PCMTD2,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pcmtd2 PE=2 SV=1,liver,Hypotaurine,0.5649262,no,no,no,PCMTD2_Hypotaurine,NA,NA,NA,newfound,Extreme Outlier
Q9DBE0,CSAD,Cysteine sulfinic acid decarboxylase OS=Mus musculus OX=10090 GN=Csad PE=1 SV=1,liver,Hypotaurine,0.470949909,no,no,yes,CSAD_Hypotaurine,RHEA:16877,R-HSA-1614558,NA,established,Extreme Outlier
Q9JHS4,CLPX,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",liver,Hypotaurine,0.40377578,no,yes,no,CLPX_Hypotaurine,NA,NA,NA,newfound,Extreme Outlier
P60334,CDO1,Cysteine dioxygenase type 1 OS=Mus musculus OX=10090 GN=Cdo1 PE=1 SV=1,liver,Hypotaurine,0.382834372,no,no,yes,CDO1_Hypotaurine,NA,R-MMU-1614558;R-HSA-1614558,NA,established,Extreme Outlier
Q9D1E8,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon OS=Mus musculus OX=10090 GN=Agpat5 PE=1 SV=2,liver,Hypotaurine,0.331299959,no,yes,yes,AGPAT5_Hypotaurine,NA,NA,NA,newfound,Extreme Outlier
Q5XG73,ACBD5,Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Acbd5 PE=1 SV=1,liver,Hypotaurine,0.308519483,yes,no,no,ACBD5_Hypotaurine,NA,NA,NA,newfound,Normal
Q63829,COMMD3,COMM domain-containing protein 3 OS=Mus musculus OX=10090 GN=Commd3 PE=1 SV=1,liver,Hypotaurine,0.294736565,no,no,no,COMMD3_Hypotaurine,NA,NA,NA,newfound,Normal
Q61081,CDC37,Hsp90 co-chaperone Cdc37 OS=Mus musculus OX=10090 GN=Cdc37 PE=1 SV=1,liver,Hypotaurine,0.248366446,yes,no,no,CDC37_Hypotaurine,NA,NA,NA,newfound,Normal
Q8QZR1,TAT,Tyrosine aminotransferase OS=Mus musculus OX=10090 GN=Tat PE=1 SV=1,liver,Hypotaurine,0.174295606,no,no,yes,TAT_Hypotaurine,NA,NA,NA,newfound,Normal
Q8JZL3,THTPA,Thiamine-triphosphatase OS=Mus musculus OX=10090 GN=Thtpa PE=1 SV=3,liver,Hypotaurine,0.117189046,no,no,no,THTPA_Hypotaurine,NA,NA,NA,newfound,Normal
Q7TNG5-2,EML2,Isoform 2 of Echinoderm microtubule-associated protein-like 2 OS=Mus musculus OX=10090 GN=Eml2,liver,Hypotaurine,0.0904,no,no,no,EML2_Hypotaurine,NA,NA,NA,newfound,Normal
P68368,TUBA4A,Tubulin alpha-4A chain OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1,liver,Hypotaurine,0.0874,no,no,no,TUBA4A_Hypotaurine,NA,NA,NA,newfound,Normal
Q7TT37,ELP1,Elongator complex protein 1 OS=Mus musculus OX=10090 GN=Elp1 PE=1 SV=2,liver,Hypotaurine,0.064,no,no,no,ELP1_Hypotaurine,NA,NA,NA,newfound,Normal
Q8C6E0,CFAP36,Cilia- and flagella-associated protein 36 OS=Mus musculus OX=10090 GN=Cfap36 PE=1 SV=1,liver,Hypotaurine,0.0485,no,no,no,CFAP36_Hypotaurine,NA,NA,NA,newfound,Normal
